2dehandsdeal,2dehands_deal
aai,aaien
aait,aaien
aan_deven,aan_doen
aan_even,aan_geven
aan_gif,aan_geven
aan_gomen,aan_komen
aan_klijden,aan_kleden
aan_kondingen,aan_kondigen
aan_reiken,aan_rijken
aan_schafen,aan_schaffen
aan_stooten,aan_stoten
aanbieren,aan_bieden
aandacht_sboog,aandacht_boog
aandacht_spunt,aandacht_punt
aangenameer,aangenaam
aankaarten,aan_kaarten
aanleren,aan_leren
aanmodderen,aan_modderen
aannodiging,uitnodiging
aanproberen,aan_proberen
aanschouwen,aan_schouwen
aanschuiven,aan_schuiven
aanstaan,aan_staan
aanstuderen,aan_studeren
aanvatten,aan_vatten
aanzien,aan_zien
aardap_pelsalade,aard_appel_salade
aardappel,aard_appel
abdate,update
academiejaar,academie_jaar
accessoires,accessoire
acciden,accident
acciteren,accepteren
aches,ache
achter_meken,achter_maken
achterlaan,achter_laten
achterlaten,achter_laten
achterlonen,achter_lopen
achterloop,achter_lopen
achterslapen,achter_slapen
achteruit_gacten,achteruit_gaan
achtervolgen,achter_volgen
acker,akker
acro,acro-porté
acroporté,acro-porté
actiefs,actief
actiev,actief
adem_adem_adem_ademen,ademen
ademhalen,adem_halen
ademruimte,adem_ruimte
af_driegen,af_drogen
af_gaf_afgen,af_gieten
af_gelasten,afgelasten
af_gelijgen,afgelegen
af_ketten,af_ketsen
af_klijden,af_kleden
af_kuisten,af_kuisen
af_scheiden,afscheiden
af_steffen,af_stoffen
af_weken,af_wijken
af_westen,afwas
afleveringen,aflevering
afscheidsdrink,afscheid_drink
afscheidsfees,afscheid_feest
afscheidsviering,afscheid_viering
afsleuter,afsluiter
afspreek,af_spreken
afstuderen,af_studeren
afterwork,after work
aftijd,af_tijd
afwacht,af_wachten
afwasmachie,afwas_machine
afwasmachine,afwas_machine
afwasmasjiën,afwas_machine
ajuin,ui
akward,awkward
alarmbel,alarm_bel
albertijn,albert heijn
album_verlies,album_release
alcoholverslaving,alcohol_verslaving
alerter,alert
ality,practicality
aller_belang_rijk,allerbelangrijk
aller_giepil,allergie_pil
aller_lief,allerliefst
allerbest,best
amason,amazon
amateurtoneel_groep,amateur_toneel_groep
ambetanter,ambetant
ambteren,ambeteren
an_pakken,aan_pakken
angstreactie,angst_reactie
anticiteren,anticiperen
antwerp,antwerpen
ap,app
ap_peritieven,aperitief
ap_preceren,appreciëren
ap_precieren,appreciëren
ap_preciëren,appreciëren
aperitieven,aperitief
aperotime,apero_time
apparad,apparaat
appart_emen,appartement
appart_ement,appartement
appartemen,appartement
appartementsblok,appartement_blok
appelboom,appel_boom
appelflap,appel_flap
appeltaart,appel_taart
apperetief,aperitief
appie,appartement
apping,app
appreceren,appreciëren
apps,app
arbeids,arbeid
associaal,asociaal
associologie,sociologie
astrids,astrid
aten,eten
audioboek,audio_boek
auiz,quiz
autoherkeuring,auto_verhuuring
autokeuring,auto_keuring
autorijd,auto_rijden
autorijden,auto_rijden
autorit,auto_rit
autorits,auto_rit
autosleutel,auto_sleutel
autovriendelijk,auto_vriendelijk
aven_aven,avond
avond_dag,avond
avond_gegieten,avond_eten
avonddiner,avond_diner
avondeet,avond_eten
avondeten,avond_eten
avondfeest,avond_feest
avondfile,avond_file
avondless,avond_les
avondloop,avond_loop
avondmaal,avond_maal
avondmens,avond_mens
avondpas,avond_pas
avondpauze,avond_pauze
avondrush,avond_rush
avondservice,avond_service
avondsessie,avond_sessie
avondshift,avond_shift
avondsnack,avond_snack
avondtest,avond_test
avondtijd,avond_tijd
avondvoeding,avond_voeding
avondwandeling,avond_wandeling
bab,bachelor_proef
babbellen,babbelen
babelen,babbelen
babie,baby
babisiten,babysitten
babybroer,baby_broer
babyet,baby
babynich,baby_nicht
babysit,babysitten
babysiten,babysitten
babyspa,baby_spa
babyvoet_bal,baby_voetbal
bachel,bachelor
bachel_orpaper,bachelor_paper
bachel_orproef,bachelor_proef
bachel_orvak,bachelor_vak
bachelproef,bachelor_proef
backet,pakket
badch,batch
badkamer,bad_kamer
bakske,bak
balleke,bal
bananencake,banana_cake
banden_wissel,band_wissel
bands,band
bandwerk,band_werk
bangtheorie,big bang theory
bangtheory,big bang theory
banijn,banaan
bankauto_maat,bank_automaat
bankzak,bank_zaak
bap,bachelor_proef
barbecuen,barbecue
barbi,barbie
barnight,bar_night
barnout,burn-out
barpen,bal_pen
barrières,barrière
bars,barst
barstoel,bar_stoel
basisding,basis_ding
basje,bas
basketbal,basket_bal
basketmatch,basket_match
basta,pasta
batcch,batch
batterijke,batterij
batterijt,batterij
baw_aangifte,bouw_aangifte
bazen,baas
bazin,baas
bbq,barbecue
beachbar,beach_bar
beachvolley,beach_volley
beddengoed,bed_goed
bedje,bed
bedorte,bed
bedtijd,bed_tijd
bedtijden,bed_tijd
beefteven,beven
beeldhoklas,beeldhouw_klas
beeldhouw,beeldhouwen
beeldhouwles,beeldhouw_les
beeldmateriaal,beeld_materiaal
beenhouwer,been_houwer
begrippenlijst,begrip_lijst
begripvoller,begripvol
beïindigen,beëindigen
bejaard_tehuis,bejaarde_huis
belangrijks,belangrijk
belemmerten,belemmeren
belgie,belgië
belgion,belgian
bellet,bel
beroep_aangevoel,beroep_gevoel
besprijken,bespreken
bestel,bestellen
beter_zinden,beter_gezind
betergezind,beter_gezind
beters,beter
beterten,beteren
betreppen,betrappen
beuuuuu,beu
bevrienen,bevriend
bewuster,bewust
bezerden,bezeren
bezighielen,bezig_houden
bib,bibliotheek
bibber,bibberen
bibs,bibliotheek
bibsessie,bibliotheek_sessie
bied,bieden
biefstuk,bief_stuk
biekes,bie
bierpong,bier_pong
biiib,bibliotheek
biiiib,bibliotheek
biiiiiib,bibliotheek
bij_beenden,bij_benen
bij_bijzen,bij_leren
bij_bwengen,bij_brengen
bij_doen,bijeen_doen
bij_lag,bijlage
bij_woonen,bij_wonen
bijbabbelen,bij_babbelen
bijgebabbeld,bij_babbelen
bijhalen,bij_halen
bijhebben,bij_hebben
bijkletsen,bij_kletsen
bijkomen,bij_komen
bijleggen,bij_leggen
bijlesgever,bijles_gever
bijnemen,bij_nemen
bijschrijven,bij_schrijven
bijspringen,bij_springen
bijstellen,bij_stellen
bijsturen,bij_sturen
bijven,blijven
bijwerken,bij_werken
bijwerpen,bijlwerpen
bijzaak,bij_zaak
bijzen,bij hebben
biljart,biljard
bingch,binge
binggo,bingo
binnen_stad,binnenstad
binnen_zwembad,binnen_zwem_bad
binnenhuisarchitect,binnenhuis_architect
binnenkijken,binnen_kijken
binnenspringen,binnen_springen
binnenvallen,binnen_vallen
binnenwandelen,binnen_wandelen
bios,bioscoop
blaad,blad
blad_tijd,blad_zijde
bladen,blad
blader,bladeren
blaf,blaffen
blaven,blamen
bleven,blijven
blijman,blij_maken
blik_emafleider,bliksem_afleider
blikske,blik
bloedcel,bloed_cel
bloedonderzoek,bloed_onderzoek
bloedsom_loop,bloed_omloop
bloem_ekes,bloem
bloem_enwinkel,bloem_winkel
bloempot,bloem_pot
blok_keren,blokkeren
blokkeer,blokkeren
blokperiode,blok_periode
bloot_gieter,lood_gieter
blues,blue
bod_ypower,body_power
boek_cafeetje,boek_café
boek_stagram,bookstagram
boekenkast,boek_kast
boekentin,boek
boekexaam,boek_examen
boekhandel,boek_handel
boekhouder,boek_houder
boekske,boek
boerata,burrata
boilerche,boiler
bomen_werk,boom_werk
bomma,oma
bommenwerk,boom_werk
bompa,opa
bompy,bumpy
bood_schappen_lijs,boodschap_lijst
boodschap_lenlijst,boodschap_lijst
boombezorging_jobke,boom_bezorging_job
boomklimjob,boom_klim_job
boomklimm,boom_klimmen
boomklimmen,boom_klimmen
boomverzorger,boom_verzorger
bootmus_kaat,nootmuskaat
boox,boxen
booz,boos
bop,bob
bord_voeding,borst_voeding
bordspel,bord_spel
borduur,borduren
borst_schoen,borst_voeding
borstkas,borst_kas
boshuis,bos_huis
boswandeling,bos_wandeling
boterhammeke,boterham
bots,botsen
botweef_zaal,bot_weefsel
bout,bouts
bout_sfestival,bouts_festival
boven_buurvrouw,boven_buur_vrouw
bovenhalen,boven_halen
boxles,box_les
boyler,boiler
boys,boy
brandalarm,brand_alarm
brandstof,brand_stof
brandweerwag,brandweer_wagen
break_down,breakdown
breaks,break
breek,breken
brees,brace
breiwer,brei_werk
breiwerk,brei_werk
breven,briefen
briendin,vriendin
brievenbus,brief_bus
brijken,breken
briljan,briljant
brood_jeszak,brood_zak
broun_ny's,brownie
brouw,brouwen
bruegel,breugel
bruik_maken,gebruik_maken
brunchten,brunchen
brussels,brussel
bteken,vast hebben
bud_teten,bingen
buiding,building
buikgevoel,buik_gevoel
buikkram,buik_kramp
buiten_slep,buiten_slapen
buitengaan,buiten_gaan
buitenlucht,buiten_lucht
buk,bukken
bureaugenoot,bureau_genoot
bureaustoel,bureau_stoel
bureautijd,bureau_tijd
bureauwerk,bureau_werk
burnout,burn-out
buschauffeur,bus_chaffeur
busganger,bus_ganger
bushalte,bus_halte
busreis,bus_reis
busrit,bus_rit
busschauffeur,bus_chauffeur
bussypas,bus_pas
busypas,bus_pas
buurtfeest,buurt_feest
ça,ça_va
cadeaus,cadeau
cafee,café
cafeek,café
cafeet,café
cafeetje,café
cafés,café
caket,cake
camionet,camonniette
campingeigenaar,camping_eigenaar
candaag,vandaag
canochtend,vanochtend
carwas,car_was
casine,cafeïne
casis,casus
cat,kat
catchup,catch-up
cats,kat
cava,ça_va
çava,ça_va
cd_speler,cd-speler
cen,cent
centa,santa
centie,essentie
centjes,cent
chal,chillen
challen,chillen
champions,champion
chao,chaos
charcutrie,charcuterie
chauf_fageke,chauffage
chees,cheese
chefs,chef
chemus,remus
chet,chat
cheus_burger,cheeseburger
chic,chique
chil,chill
chilavond,chill avond
childag,chill dag
chille,chill
chilleavond,chill avond
chilledag,chill dag
chiller,chill
chillewarie_dag,chill dag
chine,chill
chipske,chip
chiquer,chique
chocola,chocolade
chocolaas,chocolaatje
chocolaat,chocolade
chocoladekoek,chocolade_koek
chocolademelk,chocolade_melk
chocoladetaart,chocolade_taart
chocolat,chocolade
chocolet,chocolade
chocomelk,chocolade_melk
chocomousse,chocolade_mousse
chollen,chillen
chril,schril
chul,chill
cillen,chillen 
cinemarol,cinnamon_roll
circusle,circus_les
citytrip,city_trip
cleas_onderzoek,klas_onderzoek
clubavond,club_avond
coache,coachen
cocon,cocoon
codeersessie,codeer_sessie
col,call
colake,cola
coleren,kleuren
coll,call
collega_,collega
collegaat,collega
collegas,collega
collegatje,collega
colruyts,colruyt
commix,comics
communiefeest,communie_feest
communifeest,communie_feest
complimen,compliment
computer_pelle,computer_spel
computerarchitectuur,computer_architectuur
computerspel,computer_spel
computerwetenschap,computer_wetenschap
con_necten,connecten
concer,concert
concertticket,concert_ticket
conditatief,kwantitatief
conference,conferentie
conformation,confirmation
connet,connect
cons,con
constreren,concentreren
constressie,conditie
consumptiecheque,consumptie_cheque
contenter,content
continue,continu
contivatie,motivatie
controleer,controleren
controlefreak,controle_freak
cooky,cookie
corflake,cornflakes
cornetle,kornet_les
cornflex,cornflakes
cos,cozy
cosi,cozy
cot,kot
covit,covid
creatiefs,creatief
creditnota,credit_nota
credits,credit
crèmekoek,crème_koek
cremis,kermis
crezen,creëren
crois_sants,croissant
crosscultureel,cross-cultureel
crul,krul
currie,curry
cursus_stuks,cursus_stuk
cut,goed
cutter,kut
cuut,cute
cyclocenta,secret santa
cynis,sinus
cynus,sinus
daat,daad
dag_dag,dag
dag_dagelijk,dagdagelijks
dag_maal,middag_maal
dag_nacht,dag
dagdisco,dag_disco
dagen_,dag
daginvulling,dag_invulling
daglicht,dag_licht
dagske,dag
dagtaak,dag_taak
dagtrip,dag_trip
daguit_stap,dag_uitstap
dakterras,dak_terras
dakwerker,dak_werker
dance4_friend,dance4friends
dankvoor,dankbaar
dans_uh_les,dans_les
dansavond,dans_avond
dansclub,dans_club
dansjaar,dans_jaar
dansle,dans_les
dansles,dans_les
dansoef_avond,dans_oefen_avond
dansoporen,dans_optreden
dansseizoen,dans_seizoen
danssessie,dans_sessie
dansvloer,dans_vloer
darmont_steking,darm_ontsteking
dartsbord,dart_bord
dataanalyse,data_analyse
datapunt,data_punt
dateavond,date_avond
decaton,decathlon
deeja,deejay
deeldag,deel_dag
defqon,defcon
deker,deken
dementenman,man
denkik,denken
dens,dense
depaneren,depanneren
derdejaar,derde_jaar
desect,dissect
desser,dessert
dessociëren,dissociëren
detail_vrag,detail_vraag
deugddoende,deugd_doend
deugdoende,deugd_doend
deuge,deugd
deurbel,deur_bel
deze_namiddag,namiddag
deze_ochtend,ochtend
dezemiddag,middag
dezemorgen,morgen
dezen_acht,nacht
dezen_amiddag,namiddag
dezeochtend,ochtend
dialy_senpatiënt,dialyse_patiënt
dialysse,dialyse
dialyys,dialyseren
